platform,product_id,product_name,category,brand_name,review_count,avg_rating,n_negative,n_neutral,n_positive
musinsa,6299094,액티브 스웨트프루프 선스틱 + 쿨 데오 샤워티슈 1매,선크림,obge,128,4.9921875,0,0,128
musinsa,6299243,[몬치치] 세라마이드 아토 로션 600ml+몬치치 복주머니 파우치,기타,illiyoon,56,4.928571428571429,0,0,56
musinsa,6301688,[래하벨 콜라보] 프레쉬 모이스처 바디로션 400ML 더블기획(키링내장)+[증정]쿨시트1매+세라엠디로션20ml,기타,dermab,23,4.956521739130435,0,0,23
musinsa,6302706,[콜라보] 세라마이드 유자 바이오 클렌징 오일 200ml+20ml+헤어핀 굿즈,클렌징오일,irecipe,141,4.900709219858156,1,3,137
musinsa,6306878,"본딩 알파 케라틴 헤어팩 260g, 누드머스크",기타,ohype,171,4.988304093567251,0,0,171
musinsa,6307074,"본딩 알파 케라틴 헤어팩 260g, 그린제스트",기타,ohype,31,4.903225806451613,0,0,31
musinsa,6309260,데미지드 헤어 테라피 미스트 200ml,미스트,missha,48,4.791666666666667,0,2,46
musinsa,6311286,"본딩 리브인 케라틴 폼 트리트먼트 200ml, 누드머스크",기타,ohype,124,4.991935483870968,0,0,124
musinsa,6330687,저분자 히알루론산 딥 토너 500ml,토너,thelabbyblancdoux,1462,4.926812585499316,2,12,1448
musinsa,6330688,올리고 히알루론산 딥 토너 200ml,토너,thelabbyblancdoux,668,4.892215568862276,1,7,660
musinsa,6330696,저분자 히알루론산 선 에센스 40ml [SPF50+/PA++++],기타,thelabbyblancdoux,192,4.921875,0,2,190
musinsa,6331152,비터버터 약산성 바디워시 500ml+여행용 100ml 증정,기타,arwe,667,4.9055472263868065,5,4,658
musinsa,6332438,비욘드 딥모이스처 스무딩 바디에멀전 500ml,기타,beyond,186,4.908602150537634,0,2,184
oliveyoung,A000000002652,바이오더마 센시비오 H2O 100ml(클렌징워터),클렌징,바이오더마,75,4.613333333333333,5,2,68
oliveyoung,A000000003939,[180ml리필증정] 하다라보 고쿠쥰 클렌징 오일 200mL,클렌징오일,하다라보,304,4.1480263157894735,27,70,207
oliveyoung,A000000006564,우르오스 올인원 스킨로션 200ml 증정기획/단품,스킨케어,우르오스,328,4.25,18,83,227
oliveyoung,A000000006565,우르오스 올인원 스킨밀크 200ml 증정기획/단품,스킨케어,우르오스,345,4.28695652173913,21,78,246
oliveyoung,A000000010461,[톤보정] 라로슈포제 유비데아 안뗄리오스 틴티드 크림,선크림,라로슈포제,289,3.9550173010380623,44,62,183
oliveyoung,A000000010462,[수분] 라로슈포제 유비데아 안뗄리오스 멜트인 크림,선크림,라로슈포제,307,4.397394136807818,14,37,256
oliveyoung,A000000010476,라로슈포제 에빠끌라 퓨리파잉 포밍 젤+M 200ml,클렌징,라로슈포제,251,4.274900398406374,14,39,198
oliveyoung,A000000010497,[72관왕/1위] 린제이 모델링 팩 (컵팩) 7종 택1,마스크팩,린제이,354,3.652542372881356,111,4,239
oliveyoung,A000000011226,니베아 선 프로텍트 앤 라이트 필 퍼펙트 선세럼 SPF50+ PA+++,세럼,니베아,325,4.049230769230769,57,47,221
oliveyoung,A000000011596,메디힐 W.H.P 미백수분 블랙 마스크 EX 10매,마스크팩,메디힐,309,4.339805825242719,11,66,232
oliveyoung,A000000012609,아이소이 에센셜 마스크팩 1매 3종 택 1 (잡티 / 진정 / 수분),마스크팩,아이소이,316,3.6234177215189876,100,10,206
oliveyoung,A000000013194,[스테디셀러특가/6월 올영픽] 바이오더마 센시비오 H2O 500ml 2입,클렌징,바이오더마,130,4.9,1,3,126
oliveyoung,A000000013302,[세정만족98%] 비페스타 클렌징티슈 브라이트닝 46매 (모공&각질),클렌징,비페스타,325,4.113846153846154,51,45,229
oliveyoung,A000000013305,[9일특가] 비페스타 클렌징티슈 세럼 모이스트 46매 (보습개선),세럼,비페스타,323,4.130030959752322,42,55,226
oliveyoung,A000000015244,메디힐 W.H.P 미백수분 블랙 마스크 EX 1매,마스크팩,메디힐,364,4.173076923076923,42,70,252
oliveyoung,A000000102238,라로슈포제 미셀라 클렌징워터 센시티브 400ml,클렌징,라로슈포제,151,4.5364238410596025,1,12,138
oliveyoung,A000000102752,[꼼꼼/필수템] 키스미 히로인메이크 스피디 마스카라 전용 리무버 단품,마스카라,키스미,353,4.164305949008498,50,50,253
oliveyoung,A000000106577,[리뉴얼/증정이벤트] 브리스킨 리얼 핏 세컨드스킨 마스크1/5매입,마스크팩,브리스킨,240,3.75,57,43,140
oliveyoung,A000000107679,마녀공장 퓨어 소이빈 클렌징 오일 200ml,클렌징오일,마녀공장,136,4.8161764705882355,1,3,132
oliveyoung,A000000112523,[촉촉톤업] 라로슈포제 유비데아 안뗄리오스 톤업 라이트 크림 30ml,선크림,라로슈포제,272,4.338235294117647,9,44,219
oliveyoung,A000000113670,메이크프렘 세이프 미 릴리프 모이스처 클렌징폼 150ml 1+1 기획,클렌징폼,메이크프렘,350,3.7085714285714286,103,6,241
oliveyoung,A000000114166,[각질/피지] 스트라이덱스 센시티브 패드 90매,마스크팩,스트라이덱스,372,3.6586021505376345,114,10,248
oliveyoung,A000000115199,[급속쿨링/열감케어] 셀퓨전씨 포스트 알파 쿨링 마스크 5P(퍼스트 쿨링/시카 쿨링),마스크팩,셀퓨전씨,364,3.760989010989011,107,2,255
oliveyoung,A000000117541,[베스트 올인원]우르오스 올인원 200ml 2종 택 1,스킨케어,우르오스,340,4.223529411764706,34,65,241
oliveyoung,A000000120688,[1매/5종] 아비브 약산성 pH 시트 마스크 핏 1매 (어성초/부활초/아쿠아/글루타치온좀/허니),마스크팩,아비브,351,3.8404558404558404,96,6,249
